date,speaker,affiliation,title,url,source
Apr  5,Carolyn Ott,Howard Hughes Medical Institute - Janelia,Primary cilia ultrastructure studies reveal differences between cells and across brain regions,https://youtu.be/rcea4wJsXxI,24_winter-Table 1
Apr  12,Paul Rosenberg,Harvard Medical School,Presynaptic transporters at excitatory synapses keep punching above their weight,https://youtu.be/tIvLrIj_1as,24_winter-Table 1
Apr  19,Ruixuan Gao,University of Illinois Chicago,Expansion microscopy-based spatial biology technologies for neurobiology research,https://youtu.be/fq8leiHX_Zk,24_winter-Table 1
Apr  26,Audrey Medeiros,Brown University,Investigating calcium channels and their auxiliary subunits in establishing diverse synaptic properties,https://youtu.be/oE59BPHPBvw,24_winter-Table 1
"Jun 20, 2025",Alberto Pereda,Albert Einstein College of Medicine,The molecular organization of the electrical synapse,https://youtu.be/cTnXtqq2ZfU,25_Summer-Table 1
"Jun 27, 2025",Sam Peng,Broad Institute of MIT and Harvard,"Ultralong-term, Real-Time Tracking of Single Cargoes in Living Neurons",https://youtu.be/Wbxa9h3HVhE,25_Summer-Table 1
"Jul 11, 2025",Mike Higley,Yale School of Medicine,Multiscale imaging of circuit dynamics underlying visual perception and behavior,https://youtu.be/5r6KJt7OfGI,25_Summer-Table 1
"Jul 18, 2025",Bill Green,University of Chicago,The Role of Golgi Satellites in Synaptic Plasticity and Autism Spectrum Disorders,https://youtu.be/Qc_cr-AB3d0,25_Summer-Table 1
"Jul 25, 2025",Moitrayee Bhattacharyya,Yale Pharmacology,In vitro biophysics meets in vivo biology: nanoscale analyses of membrane proteins on native membranes,https://youtu.be/ozy5swSoVOg,25_Summer-Table 1
"Aug 1, 2025",Jiami Guo,University of Calgary,To image and control primary ciliary signaling in brain development and disease,https://youtu.be/kw-03MnQEAM,25_Summer-Table 1
"Aug 8, 2025",Kristina Lippmann,Leipzig University,The final nanometers determine release probability.,https://youtu.be/QodAsjxUGsk,25_Summer-Table 1
